City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Palembang,ID,74.41,heavy intensity rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
276,Pandan,PH,79.41,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
278,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
281,Maldonado,UY,72.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
282,Dana Point,US,85.91,few clouds,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
283,Mwanga,TZ,74.68,few clouds,-4.8,38.2,Tembo Campsite & Lodge
284,Thanh Hoa,VN,73.08,scattered clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
287,Mogadishu,SO,79.39,overcast clouds,2.0371,45.3438,Hotel Juba
289,Kavieng,PG,82.27,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
291,Tutoia,BR,85.98,overcast clouds,-2.7619,-42.2744,Pousada Guará's
293,Lantawan,PH,76.69,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
295,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
298,Acarau,BR,85.26,broken clouds,-2.8856,-40.12,castelo pizzaria
299,La Romana,DO,86.36,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
300,Moerai,PF,74.12,overcast clouds,-22.4333,-151.3333,Le Manotel
302,Sola,VU,78.71,broken clouds,-13.8833,167.55,Leumerus Bungalows
303,Tessalit,ML,86.02,clear sky,20.1986,1.0114,
304,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
309,Xai-Xai,MZ,70.97,clear sky,-25.0519,33.6442,Complexo da Familia
310,Ovalle,CL,77.38,overcast clouds,-30.5983,-71.2003,Hotel Altos de Tuqui
311,Ilo,PE,70.66,few clouds,-17.6394,-71.3375,Torreblanca Hotel
312,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
316,Caravelas,BR,79.57,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
318,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
319,Cockburn Town,TC,82.45,few clouds,21.4612,-71.1419,Osprey Beach Hotel
324,Noumea,NC,73.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
327,Union Hidalgo,MX,86.95,overcast clouds,16.4723,-94.8295,"Posada "" Esquipulas"""
330,Lorengau,PG,80.37,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
331,Umm Kaddadah,SD,86.29,clear sky,13.6017,26.6876,
333,Kerouane,GN,75.88,clear sky,9.2667,-9.0167,
336,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
337,Buluang,PH,76.78,overcast clouds,13.3068,123.3425,Enon Beach Resort
339,Manokwari,ID,78.1,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
343,Sao Filipe,CV,80.06,broken clouds,14.8961,-24.4956,Hotel Xaguate
345,Abu Kamal,SY,70.05,clear sky,34.4506,40.9171,محطة التلفاز
347,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
348,Arlit,NE,86.88,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
349,Labuhan,ID,78.62,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
350,Ambulu,ID,75.63,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
352,Bonthe,SL,79.36,light rain,7.5264,-12.505,Bonthe Holiday Village
354,Pemba,MZ,78.89,clear sky,-12.974,40.5178,Guesthouse Samotina
355,Kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
358,Loandjili,CG,78.35,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
361,Eyl,SO,78.26,scattered clouds,7.9803,49.8164,Amiin Hotel
365,Alenquer,BR,89.94,overcast clouds,-1.9417,-54.7383,Josilene Castro
366,Cuamba,MZ,80.94,clear sky,-14.8031,36.5372,Hotel Vision
367,Bengkulu,ID,75.16,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
373,Amahai,ID,79.47,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
374,Bom Jesus,BR,86.23,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
377,Poso,ID,76.06,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
378,Huicungo,PE,88.05,broken clouds,-7.2833,-76.8,Gran Pajaten Trek
379,Banjar,ID,78.66,light rain,-8.19,114.9675,The Hamsa Resort
383,Atar,MR,86.59,broken clouds,20.5169,-13.0499,Oumou Elghoura
386,Port-Gentil,GA,79.3,overcast clouds,-0.7193,8.7815,Fengshui Residence
387,Jamame,SO,77.32,few clouds,0.0722,42.7506,
388,Savannah Bight,HN,84.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
390,Ambilobe,MG,75.13,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
398,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
399,Luanda,AO,77.63,overcast clouds,-8.8368,13.2343,Hotel Fórum
400,Akhmim,EG,77.49,clear sky,26.5622,31.745,برج الماسة السكني
405,Ankazoabo,MG,73.56,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
406,Jalingo,NG,84.99,broken clouds,8.8833,11.3667,Debright Motel
410,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
412,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
415,Tucuman,AR,89.6,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
418,Bima,ID,79.14,broken clouds,-8.4667,118.7167,Lambitu Hotel
419,Laguna,US,70.11,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
422,Puerto Escondido,MX,85.06,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
424,Maneadero,MX,71.19,clear sky,31.7167,-116.5667,Casa De Thompson
426,Arawa,PG,77.81,overcast clouds,-6.2132,155.5367,Coastline Guest House
427,Harper,LR,79.0,clear sky,4.375,-7.7169,Screensaver
432,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
435,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
436,Acajutla,SV,85.14,broken clouds,13.5928,-89.8275,asi es
440,Ixtapa,MX,86.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
446,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
448,Nova Olinda Do Norte,BR,87.35,overcast clouds,-3.8881,-59.0942,Jardim Paiva Hotel
449,Dingle,PH,76.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
450,La Asuncion,VE,87.53,few clouds,11.0333,-63.8628,Colinas de Matasiete
452,Sabang,ID,81.27,light rain,5.8933,95.3214,Hotel Citra
454,Quatre Cocos,MU,71.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
456,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
457,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
462,Kirakira,SB,78.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
