City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Kaitangata,NZ,-46.2817,169.8464,46.94,69,100,3.89,overcast clouds
189,Salalah,OM,17.0151,54.0924,80.69,74,0,2.3,clear sky
190,Henties Bay,NA,-22.116,14.2845,59.76,87,71,8.66,broken clouds
191,Vardo,NO,70.3705,31.1107,33.78,80,75,10.36,broken clouds
192,Berdigestyakh,RU,62.0989,126.6992,9.55,94,100,8.28,light snow
193,Belmonte,BR,-15.8631,-38.8828,79.3,80,83,10.98,broken clouds
194,Azare,NG,11.6765,10.1948,85.62,21,100,9.42,overcast clouds
195,Selma,US,36.5708,-119.6121,75.04,74,10,7.29,clear sky
196,Colesberg,ZA,-30.72,25.0972,68.52,14,0,6.76,clear sky
197,Songea,TZ,-10.6833,35.65,71.55,33,0,4.72,clear sky
198,Narsaq,GL,60.9167,-46.05,34.02,97,100,3.58,overcast clouds
199,Pyrzyce,PL,53.1462,14.8926,48.27,97,100,12.33,light rain
200,Butaritari,KI,3.0707,172.7902,82.8,74,13,16.24,few clouds
201,Ulladulla,AU,-35.35,150.4667,62.76,91,100,2.59,light rain
202,Porto Torres,IT,40.835,8.3972,57.38,62,42,3.2,scattered clouds
203,Grand Gaube,MU,-20.0064,57.6608,71.38,76,0,4.0,clear sky
204,Stokmarknes,NO,68.5646,14.9108,44.56,93,75,11.5,broken clouds
205,Gravdal,NO,68.1214,13.5031,44.28,100,40,2.3,scattered clouds
206,Kattivakkam,IN,13.2167,80.3167,77.09,86,97,5.41,overcast clouds
207,Nuuk,GL,64.1835,-51.7216,30.81,86,75,14.97,broken clouds
208,Brae,GB,60.3964,-1.353,49.91,83,100,18.1,overcast clouds
209,Sioux Lookout,CA,50.1001,-91.917,42.08,58,4,9.06,clear sky
210,Namibe,AO,-15.1961,12.1522,66.16,83,51,4.03,broken clouds
211,Oxford,GB,51.7522,-1.256,46.76,82,75,4.61,broken clouds
212,Port Hueneme,US,34.1478,-119.1951,90.25,77,40,5.75,haze
213,Vangaindrano,MG,-23.35,47.6,74.5,94,53,2.42,broken clouds
214,Vostok,RU,46.4856,135.8833,36.1,77,83,2.39,broken clouds
215,Buchanan,LR,5.8808,-10.0467,80.56,84,49,7.63,light rain
216,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,89,100,19.8,overcast clouds
217,Wadi Maliz,TN,36.4681,8.5495,61.36,77,98,5.03,overcast clouds
218,Codrington,AU,-38.2667,141.9667,43.63,96,5,2.59,clear sky
219,Dekar,BW,-21.5333,21.9333,86.56,10,35,7.61,scattered clouds
220,Lavrentiya,RU,65.5833,-171.0,14.25,83,100,11.34,overcast clouds
221,Kisiwani,TZ,-4.1333,37.95,72.59,85,28,5.86,scattered clouds
222,Inirida,CO,3.8653,-67.9239,87.22,68,99,1.79,overcast clouds
223,Upernavik,GL,72.7868,-56.1549,25.84,81,100,13.67,overcast clouds
224,Ondjiva,AO,-17.0667,15.7333,82.98,15,98,2.73,overcast clouds
225,Ugoofaaru,MV,5.6667,73.0,82.15,80,100,16.89,overcast clouds
226,Barabai,ID,-2.5833,115.3833,73.63,98,99,0.07,overcast clouds
227,Isiolo,KE,0.3546,37.5822,71.38,71,89,6.22,light rain
228,Vestmannaeyjar,IS,63.4427,-20.2734,44.98,78,100,14.05,overcast clouds
229,Teguldet,RU,57.3064,88.1667,11.3,78,100,12.75,overcast clouds
230,Marsaxlokk,MT,35.8419,14.5431,73.08,88,0,11.5,clear sky
231,Nome,US,64.5011,-165.4064,17.67,80,90,0.0,overcast clouds
232,Batticaloa,LK,7.7102,81.6924,78.04,84,100,5.39,moderate rain
233,Leutkirch,DE,47.825,10.0167,42.04,88,85,7.23,overcast clouds
234,Flinders,AU,-34.5833,150.8552,64.18,94,100,1.01,light rain
235,Filadelfia,US,39.9523,-75.1638,53.71,42,90,1.01,overcast clouds
236,Tokur,RU,53.1333,132.9,21.76,98,99,2.55,overcast clouds
237,Bambanglipuro,ID,-7.95,110.2833,66.6,85,100,2.28,overcast clouds
238,Mar Del Plata,AR,-38.0023,-57.5575,66.22,99,90,13.0,mist
239,Tebingtinggi,ID,3.3285,99.1625,77.05,96,100,4.88,overcast clouds
240,Acobamba,PE,-11.3525,-75.6594,64.65,59,69,10.2,broken clouds
241,Bubaque,GW,11.2833,-15.8333,83.17,75,3,9.19,clear sky
242,Victoria,HK,22.2855,114.1577,78.33,87,27,5.99,scattered clouds
243,Sorong,ID,-0.8833,131.25,80.29,83,100,5.08,moderate rain
244,Mackay,AU,-21.15,149.2,68.04,71,6,8.97,clear sky
245,Chuy,UY,-33.6971,-53.4616,72.45,79,59,9.35,broken clouds
246,Marsh Harbour,BS,26.5412,-77.0636,78.49,61,100,6.04,overcast clouds
247,Faanui,PF,-16.4833,-151.75,78.87,76,19,11.16,few clouds
248,Lagoa,PT,39.05,-27.9833,67.24,84,100,26.8,overcast clouds
249,Beringovskiy,RU,63.05,179.3167,-3.82,89,27,7.9,scattered clouds
250,Saposoa,PE,-6.934,-76.7716,88.61,54,100,3.91,overcast clouds
251,Kodiak,US,57.79,-152.4072,35.11,87,20,0.0,few clouds
